-5.00000 , -0.00000 
-4.97500 , -5.07985 
-4.95000 , -5.62132 
-4.92500 , -4.54501 
-4.90000 , -4.97776 
-4.87500 , -5.29558 
-4.85000 , -4.80970 
-4.82500 , -4.92096 
-4.80000 , -5.20000 
-4.77500 , -4.91774 
-4.75000 , -4.89910 
-4.72500 , -5.14137 
-4.70000 , -4.98028 
-4.67500 , -4.89461 
-4.65000 , -5.09534 
-4.62500 , -5.02040 
-4.60000 , -4.90102 
-4.57500 , -5.05639 
-4.55000 , -5.04571 
-4.52500 , -4.91479 
-4.50000 , -5.02334 
-4.47500 , -5.05963 
-4.45000 , -4.93329 
-4.42500 , -4.99626 
-4.40000 , -5.06426 
-4.37500 , -4.95425 
-4.35000 , -4.97552 
-4.32500 , -5.06135 
-4.30000 , -4.97566 
-4.27500 , -4.96135 
-4.25000 , -5.05263 
-4.22500 , -4.99573 
-4.20000 , -4.95371 
-4.17500 , -5.03984 
-4.15000 , -5.01298 
-4.12500 , -4.95217 
-4.10000 , -5.02476 
-4.07500 , -5.02631 
-4.05000 , -4.95596 
-4.02500 , -5.00910 
-4.00000 , -5.03504 
-3.97500 , -4.96402 
-3.95000 , -4.99442 
-3.92500 , -5.03890 
-3.90000 , -4.97504 
-3.87500 , -4.98202 
-3.85000 , -5.03810 
-3.82500 , -4.98760 
-3.80000 , -4.97289 
-3.77500 , -5.03319 
-3.75000 , -5.00028 
-3.72500 , -4.96761 
-3.70000 , -5.02508 
-3.67500 , -5.01180 
-3.65000 , -4.96638 
-3.62500 , -5.01488 
-3.60000 , -5.02106 
-3.57500 , -4.96898 
-3.55000 , -5.00381 
-3.52500 , -5.02728 
-3.50000 , -4.97485 
-3.47500 , -4.99310 
-3.45000 , -5.03003 
-3.42500 , -4.98314 
-3.40000 , -4.98384 
-3.37500 , -5.02924 
-3.35000 , -4.99284 
-3.32500 , -4.97694 
-3.30000 , -5.02520 
-3.27500 , -5.00281 
-3.25000 , -4.97300 
-3.22500 , -5.01852 
-3.20000 , -5.01198 
-3.17500 , -4.97230 
-3.15000 , -5.01004 
-3.12500 , -5.01940 
-3.10000 , -4.97477 
-3.07500 , -5.00077 
-3.05000 , -5.02433 
-3.02500 , -4.98002 
-3.00000 , -4.99173 
-2.97500 , -5.02632 
-2.95000 , -4.98738 
-2.92500 , -4.98390 
-2.90000 , -5.02525 
-2.87500 , -4.99598 
-2.85000 , -4.97812 
-2.82500 , -5.02131 
-2.80000 , -5.00486 
-2.77500 , -4.97497 
-2.75000 , -5.01501 
-2.72500 , -5.01301 
-2.70000 , -4.97474 
-2.67500 , -5.00707 
-2.65000 , -5.01956 
-2.62500 , -4.97743 
-2.60000 , -4.99840 
-2.57500 , -5.02380 
-2.55000 , -4.98270 
-2.52500 , -4.98996 
